ID_Estadistico;Division;IG_3_6;IG_3_6_1;IG_3_1;IG_3_1_8;IG_3_2_1;IG_3_2_2;IG_3_2_3;IG_3_3;IG_3_4;IG_3_6_1_1;IG_3_6_1_2;IG_3_5_1;IG_3_5_2_0_1;IG_3_5_2_1_1;IG_3_5_2_1_2;IG_3_5_2_2_1;IG_3_5_2_2_2;IG_3_5_2_3;IG_3_5_2_4;IG_3_7;IG_4_1_1;IG_4_1_2;IG_4_1_3;IG_4_2_1;IG_4_2_2;IG_4_2_3;IG_4_2_4;IG_4_2_5;IG_4_2_6;IG_4_2_7;IG_4_2_8;IG_4_3_1_M;IG_4_3_2_M;IG_4_3_3_M;IG_4_3_4_M;IG_4_3_5_M;IG_4_3_6_M;IG_4_3_7_M;IG_4_3_8_M;IG_4_3_9_M;IG_4_3_1_H;IG_4_3_2_H;IG_4_3_3_H;IG_4_3_4_H;IG_4_3_5_H;IG_4_3_6_H;IG_4_3_7_H;IG_4_3_8_H;IG_4_3_9_H;IG_4_4_1_M;IG_4_4_2_M;IG_4_4_3_M;IG_4_4_1_H;IG_4_4_2_H;IG_4_4_3_H;IG_4_5_M;IG_4_5_H;IG_5_1_1_1;IG_5_1_2_1;IG_5_1_1_2;IG_5_1_2_2;IG_5_1_1_3;IG_5_1_2_3;IG_5_2_1;IG_5_2_2;IG_5_2_3;IG_5_3_1;IG_5_3_2;IG_5_3_3;IG_5_4;IG_5_5_1;IG_5_5_2;IG_5_5_3;B1_1_1;B1_2_1;B1_3_1;B1_4_1;B1_5_1;B1_6_1;B1_7_1;B1_8_1;B1_9_1;B1_1_2;B1_2_2;B1_3_2;B1_4_2;B1_5_2;B1_6_2;B1_7_2;B1_8_2;B1_9_2;B1_1_3;B1_2_3;B1_3_3;B1_4_3;B1_5_3;B1_6_3;B1_7_3;B1_8_3;B1_9_3;B1_1_4;B1_2_4;B1_3_4;B1_4_4;B1_5_4;B1_6_4;B1_7_4;B1_8_4;B1_9_4;B2_B_1;B2_A;C1_1_1_M;C1_1_2_M;C1_1_3_M;C1_2_1_M;C1_2_2_M;C1_2_3_M;C1_1_1_H;C1_1_2_H;C1_1_3_H;C1_2_1_H;C1_2_2_H;C1_2_3_H;C2_1_M;C2_2_M;C2_3_M;C2_4_M;C2_5_M;C2_6_M;C2_7_M;C2_8_M;C2_9_M;C2_1_H;C2_2_H;C2_3_H;C2_4_H;C2_5_H;C2_6_H;C2_7_H;C2_8_H;C2_9_H;C3_1_M;C3_2_M;C3_3_M;C3_1_H;C3_2_H;C3_3_H;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_6_1;D2_1;D2_2_1;D2_2_10;D2_2_3;D2_2_2;D2_2_11;D2_2_9;D2_2_6;D2_2_12;D2_2_5;D2_2_8;D2_2_7;D2_2_1_1;D2_2_10_1;D2_2_3_1;D2_2_2_1;D2_2_11_1;D2_2_9_1;D2_2_6_1;D2_2_12_1;D2_2_5_1;D2_2_8_1;D2_2_7_1;D2_2_11_2;D2_2_7_2;D7_3;D7_4;D7_5;D7_6;D7_4_1;D7_5_1;D7_6_1;D8_1;D8_2;D8_3;D8_4;D8_5;D8_5_1;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_8;D3_9;D3_9A;D3_7;D3_1_1;D3_2_1;D3_3_1;D3_4_1;D3_5_1;D3_6_1;D3_8_1;D3_9_1;D3_9A_1;D3_7_1;D4_A;D6_A;E1_1_1;E1_2_1;E1_1_2;E1_2_2;E3_1_1;E3_2_1;E3_3_1;E3_1_2;E3_2_2;E3_3_2;E4_1;E4_2;E4_3;E4_4;E4_5;E4_15;E4_6;E4_7;E4_8;E4_9;E4_16;E4_10;E4_11;E4_12;E4_13;E4_14;E4_17;E5_1;E5_2;E5_3;E5_4;E5_5;E5_6;E5_7;E5_8;E8_1;E8_2;E6_1;E6_2;E6_3;E6_4;E6_5;E6_6;F1_1_1;F1_2_1;F1_3_1;F1_4_1;F1_5_1;F1_6_1;F1_7_1;F1_8_1;F1_9_1;F1_10_1;F1_11_1;F1_11_5;G1A_1;G1A_1_9;G1A_1_1;G1A_1_2;G1A_1_3;G1A_1_4;G1A_1_5;G1A_1_6;G1A_1_7;G1A_1_8;G1A_2;G1A_2_9;G1A_2_1;G1A_2_2;G1A_2_3;G1A_2_4;G1A_2_5;G1A_2_6;G1A_2_7;G1A_2_8;G1A_3;G1A_3_9;G1A_3_1;G1A_3_2;G1A_3_3;G1A_3_4;G1A_3_5;G1A_3_6;G1A_3_7;G1A_3_8;G2A_1;G2A_2_1;G2A_2_2;G2A_2_3;G2A_2_4;G2A_2_5;G2A_2_6;G2A_2_6_1;G3A_1;G3A_2_1;G3A_2_2;G3A_2_3;G3A_2_4;G3A_3_1;G3A_3_2;G3A_3_3;G3A_3_4;H1A_1;H1A_2;H1A_3;H1A_4;H1A_22;H1A_5;H1A_6;H1A_7;H1A_8;H1A_9;H1A_10;H1A_11;H1A_12;H1A_13;H1A_14;H1A_16;H1A_17;H1A_18;H1A_19;H1A_20;H1A_21;H1A_15;H1A_15_2;H2A_1;H2A_2;H2A_3;H2A_4;H2A_1_1;I1_1;I1_2;I1_3;I1_4;I1_6;I1_7;I1_8;I1_9;I1_10;I1_11;I1_13;I2_1;I2_2;I2_3;I2_4;I2_5;I2_6;I2_7;I2_8;I2_9;I2_10;I2_11;I2_12;I2_13;I2_14;I2_15;I2_16;I2_17;I3_1;I3_2;I3_3;I3_4;I3_5;I3_6;I3_7;I3_8;I3_9;I4_1;I4_2;I4_3;I4_4;Innovativa;w_trans;w_long
138;33;2;100;4;;2;0;999;2;1956;1;0;2;999;1;2;;0;0;2;2;230;211;199;16;0;13;150;20;0;0;199;0;0;0;0;0;0;0;4;0;0;1;0;0;9;0;1;1;0;4;0;0;12;0;0;0;0;336187354;0;426232835;0;426090338;0;90;81;88;408;156;724;332639710;52085339;6541686;17497717;2;2;1;2;2;2;2;2;2;0;0;4273150;0;0;0;0;0;0;0;0;20894401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;66;0;0;0;;1;3;1;1;1;999;1;1;1;1;1;1;4226167;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;999;2;2;999;999;0;0;100;0;0;100;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;0;0;2;2;2;2;2;2;1;2;4;4;4;4;4;4;4;4;999;;11;ANII;1;2;2;2;2;2;2;1;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;4;3;3;3;4;3;3;3;3;2;4;3;1;4;3;3;3;4;4;3;4;999;;999;999;999;999;;2;999;999;999;999;999;999;999;999;999;999;3;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;999;999;999;999;999;999;999;999;3;2;2;2;2;1;1,404506295;1,128077911
139;29;2;100;4;;2;0;999;2;1962;1;0;1;1;;0;;0;0;0;2;234;233;555;15;100;27;413;0;0;0;555;0;0;0;0;1;0;1;0;0;2;0;0;4;5;0;0;2;0;2;0;0;13;0;0;0;0;579788191;11079782;319411878;15352116;1083930669;6813088;0;0;0;999;999;999;407399827;635249707;1262219926;1824307234;2;2;1;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360967673;0;0;0;0;0;0;2;999;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;1;3;1;1;1200000000;0;0;2;2;1;1;1;Adquisición de bienes de capital fijo;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;999;2;1;999;1;0;0;100;0;0;0;1;1;1;1;1;4;1;2;1;1;1;1;1;4;4;3;3;2;2;2;2;2;2;2;2;0;0;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;999;;7;DURR BRASIL;2;1;1;2;2;2;2;2;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;999;;999;999;999;999;;2;999;999;999;999;999;999;999;999;999;999;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;999;999;999;999;999;999;999;999;999;2;2;2;2;1;1,036476503;1,128077911
140;25;2;100;4;;1;2018;32;1;1962;1;0;1;1;;0;;0;0;0;2;46;37;34;0;0;6;28;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61976211;0;59109010;0;64545729;0;2;1;14;32;;;0;518330;614259;640334;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;999;999;999;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;3;3;1;1;1;3;2;2;3;1;2;1;1;3;3;1;2;3;3;2;4;999;;999;999;999;999;;2;999;999;999;999;999;999;999;999;999;999;4;4;3;4;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;2,997041334;2,549695937
142;32;2;100;4;;2;0;999;2;1978;1;0;1;1;;0;;0;0;0;2;52;52;52;0;0;47;0;0;5;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;124699690;0;138713405;0;168267538;0;16;19;20;600;;;13602276;0;6747842;2098670;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;999;999;999;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;2;2;2;2;2;1;1;2;2;1;1;1;1;1;2;2;2;2;3;1;2;999;;1;1;1;2;INGENIERÍA;2;999;999;999;999;999;999;999;999;999;999;4;4;4;4;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;1;1,211665281
143;25;2;100;4;;2;0;999;2;1969;1;0;2;999;1;3;;0;0;3;2;100;90;93;4;2;8;70;6;3;0;93;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;1;0;0;3;0;0;0;3;134246081;0;195241811;0;248946535;0;0;0;0;999;999;999;81960233;236932;1240092;647175;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;2;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;1;2;999;999;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;1;2;1;1;1;1;3;3;2;1;2;1;3;3;2;2;3;3;1;1;1;999;;2;2;1;2;;2;999;999;999;999;999;999;999;999;999;999;3;3;3;3;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;1,320490061;1,143313426
144;25;2;100;4;;2;0;999;1;1940;1;0;1;1;;0;;0;0;0;2;96;93;116;8;11;19;78;0;0;0;116;0;0;2;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;2;0;0;5;1;0;0;0;546138861;9311462;626756167;23200344;756307045;18139838;5;19;25;604;;;45374897;993070;4323612;21479875;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;2;1;2;999;999;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;3;4;2;1;1;3;4;3;3;1;3;3;3;3;2;2;4;4;4;3;4;999;;999;999;999;999;;2;999;999;999;999;999;999;999;999;999;999;3;3;3;3;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;1,031042664;1,1334111
145;25;2;100;4;;2;0;999;1;1962;1;0;1;1;;0;;0;0;0;2;8;4;4;4;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;3;0;0;0;0;127259934;0;135120889;0;205363838;0;0;0;0;999;999;999;10201893;0;0;158176;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;999;999;999;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;1;1;2;2;2;2;1;2;2;3;4;1;1;1;3;3;3;3;1;3;2;3;4;2;2;4;4;4;4;4;999;;999;999;999;999;;2;999;999;999;999;999;999;999;999;999;999;4;4;4;4;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;13,75687175;2,552278735
146;27;2;100;4;;2;0;999;2;1936;1;0;1;1;;0;;0;0;0;1;86;81;74;11;37;0;0;0;3;23;74;0;0;0;0;0;0;0;2;0;0;0;7;0;1;0;0;0;1;2;0;0;8;0;1;1;2;591728321;0;698530418;0;590047016;0;0;0;0;999;999;999;70807660;88792219;90459537;87369697;1;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;14000000;0;0;0;0;0;0;0;0;11160000;0;0;0;0;0;0;0;0;2;999;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;100;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;999;0;100;0;0;0;0;2;1;2;1;1;4;4;4;4;4;4;4;1;2;2;2;2;2;2;2;2;2;2;2;1;0;0;1;2;2;2;2;2;1;1;2;4;4;4;4;2;2;4;999;;0;;999;999;999;999;999;999;999;999;0;;999;999;999;999;999;999;999;999;0;;999;999;999;999;999;999;999;999;1;1;2;2;2;2;2;;1;1;2;2;2;2;2;1;2;3;3;3;1;1;1;3;1;2;1;1;1;3;3;3;2;3;3;3;3;3;999;;1;1;2;2;TIC;2;999;999;999;999;999;999;999;999;999;999;3;3;3;3;2;1;1;2;1;1;2;2;1;1;2;2;1;2;3;4;2;1;3;3;3;3;2;1;2;2;1;1;1,989285714
147;20;2;100;4;;1;1992;250;2;1992;1;0;2;999;16;1;1;2;0;3;2;53;57;61;14;3;24;20;0;0;0;61;0;1;1;3;0;0;0;0;0;0;0;0;4;2;0;1;2;0;5;0;0;5;4;0;0;0;449641340;0;527399135;0;631243921;0;1;3;1;32;;;402253698;52529290;31575559;44660000;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;999;999;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;2;2;2;2;2;4;4;4;4;1;4;4;1;4;4;4;4;4;3;3;3;999;;999;999;999;999;;2;999;999;999;999;999;999;999;999;999;999;3;3;3;3;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;2;2;2;2;1;1,152961803
148;24;2;100;4;;2;0;999;1;1965;1;0;1;1;;0;;0;0;0;2;206;214;244;1;0;243;0;0;0;0;244;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1989270439;0;2908271163;0;4778014825;0;1;0;2;32;;;1137680558;72388312;71939555;177910690;1;2;2;2;2;1;2;2;2;0;0;0;0;0;0;0;0;0;1260000;0;0;0;0;3360000;0;0;0;0;0;0;0;0;0;0;0;0;2;999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;60;0;0;0;;1;3;1;1;1;3;1;1;1;1;1;1;2520000;0;0;0;200000;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;999;1;2;2;999;2;0;98;0;0;100;2;1;2;1;4;4;2;2;1;1;1;4;2;4;4;1;4;2;2;2;2;2;2;2;1;0;0;2;2;2;2;2;1;2;4;4;4;4;4;4;2;2;4;4;Talleres;11;ANI;1;2;2;2;2;2;2;2;7;Talleres de tornería proveedores de la e;2;2;2;2;2;1;2;2;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;1;3;2;1;4;1;1;2;1;2;4;1;3;4;1;3;4;2;4;4;4;999;;1;1;2;2;Electronica;1;1;2;2;1;1;1;1;1;1;Norma ISO 14001;1;1;1;1;2;1;1;1;2;2;1;1;1;1;1;1;1;1;4;2;4;1;1;1;1;1;1;1;1;2;1;1;1,128077911
149;25;2;100;4;;2;0;999;2;1965;1;0;2;999;1;2;;0;0;2;2;56;49;45;0;2;19;24;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250296956;0;341059373;0;507023176;0;0;0;0;999;999;999;31241058;3117173;4078191;39510770;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;999;999;999;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;3;3;2;3;2;2;3;2;2;1;1;2;3;3;1;1;3;3;3;2;3;999;;1;2;2;2;industrial;2;999;999;999;999;999;999;999;999;999;999;4;4;4;4;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;1,068446815;1,514998892
150;38;2;100;4;;2;0;999;2;1960;1;0;2;999;1;4;16;1;0;5;2;120;120;120;5;0;14;100;0;1;0;120;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;5;0;0;0;1;445000000;0;528000000;0;516500000;0;92;92;92;76;156;56;30000000;1200000;0;4000000;1;2;1;1;2;2;1;1;2;0;0;0;1200000;0;0;0;0;0;800000;0;0;0;0;0;0;1200000;0;750000;0;4000000;0;0;0;400000;1200000;0;2;999;0;0;0;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;5;0;0;70;0;30;0;0;0;;1;1;3;1;1;999;1;1;1;1;1;1;0;3000000;0;0;0;0;0;0;0;0;0;;;1;2;1;1;0;0;0;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;1;2;2;1;999;2;0;0;100;0;0;100;4;3;4;3;2;4;4;4;3;4;4;4;2;4;4;4;4;2;2;2;2;2;2;2;2;0;0;1;2;2;2;2;2;2;4;1;2;3;4;4;1;1;1;999;;11;Ande;1;2;2;2;2;2;2;2;0;;999;999;999;999;999;999;999;999;0;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;2;2;2;2;2;3;3;3;1;1;4;1;1;2;2;2;4;4;1;1;1;999;;999;999;999;999;;1;1;1;2;1;2;1;2;1;1;ISO 140001;3;3;3;3;2;1;1;1;2;1;1;1;1;2;2;1;2;2;4;2;1;2;3;2;2;4;2;2;2;2;1;1,573030581;1,13890665
151;31;2;100;4;;2;0;999;2;1970;1;0;1;1;;0;;0;0;0;2;36;26;31;2;0;5;17;5;2;0;31;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;167696438;0;112853869;0;174545833;0;0;0;0;999;999;999;31147966;2700321;1003442;9911543;1;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;722090;0;0;0;0;0;0;0;0;4603167;0;0;0;0;0;0;0;0;2;999;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;100;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;1;2;2;10;10;80;0;0;0;1;2;2;2;1;2;1;1;2;2;3;2;3;3;3;2;3;2;2;1;1;2;1;2;2;0;0;1;2;1;2;2;1;2;3;3;1;3;3;3;3;3;3;999;;1;UDELAR y ORT;2;1;2;2;1;2;2;2;11;ANII;2;1;2;2;2;2;2;2;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;2;3;1;1;2;2;3;2;3;1;3;3;3;3;2;1;3;2;3;3;3;999;;1;2;1;2;metalurgica , robotica;1;1;2;2;2;2;2;2;1;2;;3;3;3;3;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;1;2,80386036;4,782866851
152;25;2;100;4;;2;0;999;2;1945;1;0;2;999;1;1;11;1;0;2;2;139;132;136;10;0;69;32;25;0;0;136;0;0;0;0;2;0;0;2;0;0;0;1;0;2;0;0;3;0;4;0;0;6;0;0;0;0;892441707;0;1065976038;0;1590044846;0;0;0;0;999;999;999;42094544;4116369;3819988;11375660;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;999;999;999;999;999;999;999;999;999;999;999;0;0;0;0;0;0;0;0;0;0;0;;;2;999;999;999;0;0;0;999;999;999;999;999;;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;999;999;999;999;999;0;0;0;0;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;999;;999;999;999;999;999;999;999;999;2;999;999;999;999;999;999;;2;999;999;999;999;999;999;999;999;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;999;;999;999;999;999;;2;999;999;999;999;999;999;999;999;999;999;2;2;2;2;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;2;1,034285467;1,141950051
